消息ID,用户ID,用户名,屏幕名,转发消息ID,消息内容,消息URL,来源,图片URL,音频URL,视频URL,地理坐标,转发数,评论数,赞数,发布时间
3547361537977082,1985551380,1985551380,全球电影收录,,近日一条名为《与我长跑十年的女朋友就要嫁人了》的长微博在网络上热传，男女主人公坎坷的情感历程，最终却仍旧抵不过现实的无奈结局令不少人扼腕唏嘘，帖子里如《少年派》开放式的三种结局也引发网友热烈讨论。昨晚影评人暗夜骑士透露，制片人陈国富已买下了该贴的电影改编权，期待大屏幕上见吧！(转),zjS5zxtcC,微博 weibo.com,http://ww2.sinaimg.cn/wap180/76591c14gw1e1yhycdm3aj.jpg,,,,4151,906,110,1361240359000
3547361537977082,1985551380,1985551380,全球电影收录,,近日一条名为《与我长跑十年的女朋友就要嫁人了》的长微博在网络上热传，男女主人公坎坷的情感历程，最终却仍旧抵不过现实的无奈结局令不少人扼腕唏嘘，帖子里如《少年派》开放式的三种结局也引发网友热烈讨论。昨晚影评人暗夜骑士透露，制片人陈国富已买下了该贴的电影改编权，期待大屏幕上见吧！(转),zjS5zxtcC,微博 weibo.com,http://ww2.sinaimg.cn/wap180/76591c14gw1e1yhycdm3aj.jpg,,,,4151,906,110,1361240359000
3537209942693281,1848090933,1848090933,台词丶音乐丶电影,,【00后版《回家的诱惑》】神马80，90后都弱爆了，00后已经强势来袭！6分34秒高潮，绝对亮点！这孩纸也太投入了吧，没想到一个萝莉能诠释得这么透彻！报仇那段要笑屎了……这演技要逆天啊~！（源自《穿透屋顶的High Kick》）视频,zfC02biE1,精彩微客,http://ww3.sinaimg.cn/wap180/6e27a135jw1e124280po6j.jpg,,,,6400,890,123,1358820031000
3535494548077486,1854743504,1854743504,电影集结号,,【这个饭店碉堡了】都是剽悍派！都来震三观！！！洗脑，无情的洗脑！！宇宙第一培训！！妹纸啊，收复钓鱼岛全靠你们了！！ 感觉好累，觉得再也不相信这个世界了…… 「转」 视频,zeTngxTk2,时光机,http://ww4.sinaimg.cn/wap180/6e8d23d0jw1e0wn1us8arj.jpg,,,,11675,1819,122,1358411049000
3525969518512070,1897054331,1897054331,全球热门伤不起,,2012了，读小学的女儿不让前男友上诺亚方舟，说是被他伤得太深，感觉不会爱了…真心给跪了！还有，你敢别用你老爹的本子写日记咩？（Via 人人网）,zaTAjzIns,精彩微客,http://ww4.sinaimg.cn/wap180/7112c07bjw1e02946r71xg.gif,,,,10967,997,85,1356140103000
3512183554497894,2300716454,2300716454,经典丶微小说,,房子买好了，工作也给你安排好了，回来结婚吧！原来爱情也可以这样真实。。。@经典丶微小说（转）,z56WTiS6G,360安全浏览器,http://ww2.sinaimg.cn/wap180/892225a6gw1dyu9t26wj7j.jpg,,,,37741,3239,150,1352853275000
3511480764781666,1808072500,1808072500,Jk-melody,,亲，谢谢你哟，谢谢你的花和你的人，[心]@吃饭-呼吸-想你,z4OFmk3VE,360安全浏览器,,,,,4,1,0,1352685716000
3745244002237689,2006213732,2006213732,奥迪英杰汇,,#新奥迪A8L上市# 2014年8月18日晚，一汽-大众奥迪在北京举办的“新奥迪A8L尊享领袖之夜”活动上宣布新奥迪A8家族上市。奥迪英杰汇成员刘德华及@杨澜 一同出席了上市活动，分别表达了对“尊贵再进化”理念的认同，并与奥迪尊贵用户共同探讨尊贵品味的变革。,BiZ0c9o7L,微博 weibo.com,"http://ww3.sinaimg.cn/thumb180/77946464jw1ejhse4uk68j20m80esmye.jpg,http://ww1.sinaimg.cn/thumb180/77946464jw1ejhse50u60j20vk0l0wgp.jpg,http://ww4.sinaimg.cn/thumb180/77946464jw1ejhse59oalj20vk0kzgnl.jpg,http://ww2.sinaimg.cn/thumb180/77946464jw1ejhse5jqnrj20m80eu0u1.jpg,http://ww2.sinaimg.cn/thumb180/77946464jw1ejhse5v8uij20m80eut9x.jpg",,,,58,9,16,1408419216000
3745321723502311,1893298044,1893298044,奥迪小兵,3745244002237689,强！！！,Bj11yeH6T,微博搜索,,,,,0,1,1,1408437746000
3743072771135507,2798210755,2798210755,萌宠全球汇,,喵星人，你已经完虐汪星人了！,Bi4wd4LoD,皮皮时光机,http://ww1.sinaimg.cn/wap180/a6c94ec3jw1ejav2xabuhg20b406yx6p.gif,,,,67,11,106,1407901554000
3743465203001222,1893298044,1893298044,奥迪小兵,3743072771135507,转发微博,BieJacAKO,三星 GALAXY S5,,,,,0,0,0,1407995116000
3694899646402826,1893298044,1893298044,奥迪小兵,,传说中的红米白色版本曝光啦，依然699元！4月8日#米粉节# 10万台首发！小米3 64GB直降200，特价2299元。40万台小米手机，60万台红米系列，每2小时6场整点开卖。更有配件全场5折起！@小米公司 立即查看：网页链接,ADOLWqRFo,分享按钮,,,,,0,0,2,1396416186000
3661332769319835,1713926427,1713926427,微博搞笑排行榜,,阿拉斯加小时候就是一团萌球~[抱抱]（转）,ApJxOD6vV,微博 weibo.com,"http://ww2.sinaimg.cn/thumb180/6628711bgw1ec22dufdxxg207s0634qq.gif,http://ww2.sinaimg.cn/thumb180/6628711bgw1ec22erc9uag207s07a7wi.gif,http://ww4.sinaimg.cn/thumb180/6628711bgw1ec22go15bsg207s0637wk.gif,http://ww2.sinaimg.cn/thumb180/6628711bgw1ec22gu2ovig206y058gvh.gif,http://ww1.sinaimg.cn/thumb180/6628711bgw1ec22h030t3g206y05813f.gif,http://ww2.sinaimg.cn/thumb180/6628711bgw1ec22h8efu8g206y058wrv.gif,http://ww4.sinaimg.cn/thumb180/6628711bgw1ec22hek3neg206y0587f6.gif,http://ww3.sinaimg.cn/thumb180/6628711bgw1ec22hkzxmyg206y058n8h.gif,http://ww3.sinaimg.cn/thumb180/6628711bgw1ec22hqmtvmj20c8269aka.jpg",,,,11910,876,1383,1388413222000
3661567453866202,1893298044,1893298044,奥迪小兵,3661332769319835,萌物~~~~~~ //@实用小百科:萌翻了[抱抱],ApPElgdM6,微博 weibo.com,,,,,0,0,0,1388469170000
3659686220145752,1893298044,1893298044,奥迪小兵,,辛苦一年，我决定买#小米年货#小米手机3（64GB）犒劳自己。小米年货专场，10400mAh移动电源免预约购买啦！还可领明星配件现金券元宝，还有机会赢小米3/小米3 F码/红米F码：网页链接,Ap2I60BUQ,小米年货,http://ww3.sinaimg.cn/wap180/70d96f7cjw1ebwu9naxchj20c817q0x0.jpg,,,,0,0,0,1388020651000
3658245724229099,1893298044,1893298044,奥迪小兵,,新版微博客户端，好听，好看，更好玩！自定义个人封面；音、视频直接播放；好友圈—好友消息不错过；支持屏蔽广告微博；广场音乐、电影、美食等频道升级。[good]快试试一键听歌：夜空中最亮的星 下载地址：网页链接,AoreIhKbh,红米手机,"http://ww3.sinaimg.cn/thumb180/6cba0975jw1ebj8qlgpszj20dc0m8jsg.jpg,http://ww2.sinaimg.cn/thumb180/6cba0975jw1ebj8q2uywpj20dc0m80v6.jpg,http://ww3.sinaimg.cn/thumb180/6cba0975jw1ebj8qq09udj20dc0m8tau.jpg,http://ww1.sinaimg.cn/thumb180/6cba0975jw1ebj8qjh8tjj20dc0m80un.jpg",,,,0,0,0,1387677209000
3655895991197458,1893298044,1893298044,奥迪小兵,,新版微博客户端，好听，好看，更好玩！自定义个人封面；音、视频直接播放；好友圈—好友消息不错过；支持屏蔽广告微博；广场音乐、电影、美食等频道升级。[good]快试试一键听歌：夜空中最亮的星 下载地址：网页链接,Ans6P51vQ,微博客户端,"http://ww2.sinaimg.cn/thumb180/6cba0975jw1eaydoioghbj20dc0m83zk.jpg,http://ww3.sinaimg.cn/thumb180/6cba0975jw1eaydmq3c6qj20dc0m8mzl.jpg,http://ww1.sinaimg.cn/thumb180/6cba0975jw1eaydnrz68gj20dc0m8gnq.jpg,http://ww2.sinaimg.cn/thumb180/6cba0975jw1eaydo5teq5j20dc0m8gni.jpg",,,,0,0,0,1387116989000
3654272262640938,1893298044,1893298044,奥迪小兵,,来来来，和大家公布一下我的新女友：她就是@小米手机  在#寻找最来电女友#里帮我找到的妹纸，和我简直天生一对！...好吧我骗你的，但这里真的有很多萌妹纸啊！而且参加活动还能赢100个小米移动电源哦：网页链接,AmLRUb51M,分享按钮,,,,,0,0,0,1386729862000
3646719705576500,1893298044,1893298044,奥迪小兵,,听说小米3开卖了，刚刚预约了1台。#我爱小米手机#因为他是迄今为止最快的小米手机！11月26日中午12点，希望能顺利抢到1台！@小米手机 分享预约地址：网页链接,AjBomnoHy,分享按钮,http://ww3.sinaimg.cn/wap180/70d96f7cjw1earh2ygad7j20c81ve47z.jpg,,,,0,0,0,1384929191000
