消息ID,用户ID,用户名,屏幕名,转发消息ID,消息内容,消息URL,来源,图片URL,音频URL,视频URL,地理坐标,转发数,评论数,赞数,发布时间
3811874573737000,1893195243,1893195243,陌伤Amor,,#环球资讯广播发红包#挣钱是一种能力，抢红包拼的是技术。我抢到了@环球资讯广播 和@让红包飞 一起发出的现金红包，羊年好运就此开启！你也来试试手气吧~╮ (￣ 3￣) ╭环球资讯广播 的红包,C4YUxfGac,粉丝红包,,,,,0,1,1,1424305182000
3811693128084116,1893195243,1893195243,陌伤Amor,,#善存和钙尔奇让红包飞#挣钱是一种能力，抢红包拼的是技术。我抢到了@善存Centrum 发出的现金红包，羊年好运就此开启！你也来试试手气~╮ (￣ 3￣) ╭善存Centrum 的红包,C4UbSxV2Y,粉丝红包,,,,,0,0,0,1424261922000
3810490868817243,1893195243,1893195243,陌伤Amor,,#育儿专家-王玉玮的红包#抢红包图的就是个吉利！[发红包]我在育儿专家-王玉玮 的粉丝红包中抽到了@快的打车 提供的“快的打车6元红包”，你也快来试试手气！育儿专家-王玉玮 的红包,C4oUKAZLB,粉丝红包,,,,,0,0,0,1423975281000
3810455682596684,1893195243,1893195243,陌伤Amor,,#張智霖的红包#挣钱是一种能力，抢红包拼的是技术。我抢到了張智霖 和@支付宝钱包 一起发出的现金红包，幸福感爆棚！你也来试试手气吧~╮ (￣ 3￣) ╭張智霖 的红包,C4o00aTw0,粉丝红包,,,,,0,0,0,1423966892000
3807768417274599,1893195243,1893195243,陌伤Amor,,"微信啥时候这么好玩了？想知道吗……,网页链接",C3g5Huwsf,派派,http://ww2.sinaimg.cn/wap180/70d7ddebjw1ep199uk6skj20eu0j6q6f.jpg,,,,0,0,0,1423326197000
3805308038358085,1893195243,1893195243,陌伤Amor,,"微信啥时候这么好玩了？想知道吗……,网页链接",C2e5lz4jP,派派,http://ww1.sinaimg.cn/wap180/70d7ddebjw1eotepb1r5yj20eu0j6tc7.jpg,,,,0,0,0,1422739598000
3803036428279244,1893195243,1893195243,陌伤Amor,,"微信啥时候这么好玩了？想知道吗……,网页链接",C1gZsyJOc,派派,http://ww2.sinaimg.cn/wap180/70d7ddebjw1eom5t8e80pj20eu0j6tc7.jpg,,,,0,0,0,1422198003000
3790842323792103,2699330534,2699330534,阿狸心情日志,,学着看淡一些事情，才是对自己最好的保护。,BC7dSfUuX,微博 weibo.com,http://ww4.sinaimg.cn/wap180/a0e483e6gw1enhol0wa2xj20c80icdjo.jpg,,,,1184,13,243,1419290703000
3792857200594835,1893195243,1893195243,陌伤Amor,3790842323792103, //@一句心情签名:学着看淡一些事情！[心],BCXDG2uK7,iPhone客户端,,,,,0,0,0,1419771087000
3792364684605961,2407164627,2407164627,几米童话集,,得不到回报的付出，要懂得适可而止。否则，打扰了别人伤了自己,BCKPijkdH,定时showone,http://ww1.sinaimg.cn/wap180/8f7a6ad3jw1eno46g904fj20b407pmxb.jpg,,,,107,9,108,1419653662000
