消息ID,用户ID,用户名,屏幕名,转发消息ID,消息内容,消息URL,来源,图片URL,音频URL,视频URL,地理坐标,转发数,评论数,赞数,发布时间
3674584412718126,1891868097,1891868097,海上曦,,#201314我们一起走过# @晓游棋牌_showgame 春节出游泰国，还是挺惬意的。 详情:201314我们一起走过,Avihrbp6K,微话题,http://ww4.sinaimg.cn/wap180/70c39dc1tw1ed8damx85wj20vk0no46p.jpg,,,,0,0,0,1391572656000
3362322716645505,1280463227,1280463227,罗志渊,,【媒体揭露卡斯柯】@21世纪经济报道：【晒晒卡斯柯的“成绩单”】本报记者根据公开信息统计，卡斯柯承揽或参与的已建在建地铁信号项目达28项，其中仅京沪两地就占20项，无论数量还是线路的重要性都相当可观。详见下图。by21记者@伏昕 何煌,xq9ivrSNz,微博 weibo.com,http://ww2.sinaimg.cn/wap180/4c52517bgw1dlk6ip01joj.jpg,,,,58,8,0,1317123668000
3359679304799513,1893749465,1893749465,最言论,,饮料瓶底部可怕的秘密 ！ 一定要看看！@幽默搞笑大王,xp2wWk8zv,微博 weibo.com,http://ww2.sinaimg.cn/wap180/70e052d9tw1dlbqwrwvh6j.jpg,,,,25789,2917,0,1316493429000
3875195637425812,1891868632,1891868632,妮妮YMM,,韩庚同款电梯 大家快来扣他 泰国·Four Seasons Hotel Bangkok,Cvybhv9Na,iPhone 6 Plus,"http://ww3.sinaimg.cn/thumb180/70c39fd8jw1ev0d4u5jxvj216o16o7iy.jpg,http://ww3.sinaimg.cn/thumb180/70c39fd8jw1ev0d4sou38j20p018ggru.jpg,http://ww4.sinaimg.cn/thumb180/70c39fd8jw1ev0d4vo93bj20xc18gk3h.jpg",,,,0,0,0,1439402100000
3873307743095405,1891868632,1891868632,妮妮YMM,,[兔子][兔子][心][兔子][兔子],CuL4icZfT,iPhone 6 Plus,"http://ww3.sinaimg.cn/thumb180/70c39fd8jw1euucck2z5lj20dc0hsaby.jpg,http://ww1.sinaimg.cn/thumb180/70c39fd8jw1euucckjiifj20dc0hsabw.jpg,http://ww1.sinaimg.cn/thumb180/70c39fd8jw1euuccl09zdj20dc0hs75v.jpg,http://ww3.sinaimg.cn/thumb180/70c39fd8jw1euuccljt3ij20dc0hsq5h.jpg",,,,0,4,1,1438951991000
3873135063327822,2412324947,2412324947,搜狐视频电视剧,,【#越狱#重启】FOX日前确定将续拍经典美剧《越狱》，Wentworth Miller和Dominic Purcell两位主角都会回归，第一集剧本正在撰写中。 这是FOX继《24小时》和《X档案》之后第三部续拍剧集。此外，Wentworth Miller和Dominic Purcell也都会出现在新剧《明日传奇》中。越狱全季回顾→网页链接,CuGzMdXIy,搜狗高速浏览器,http://ww1.sinaimg.cn/wap180/8fc92853jw1eutsc17pmfj20qo0f044h.jpg,,,,425,45,44,1438910821000
3873221818041497,1891868632,1891868632,妮妮YMM,3873135063327822,威武 //@美剧迷:《越狱》重启前可以全季回顾一下,CuIPHxJXz,iPhone 6 Plus,,,,,0,0,0,1438931505000
3873165103418416,1891868632,1891868632,妮妮YMM,,最后福袋了,CuHmeelhK,iPhone 6 Plus,http://ww2.sinaimg.cn/wap180/70c39fd8gw1eutvz5i1jzj20jz0zk78k.jpg,,,,0,0,0,1438917983000
3872248832435494,1639483893,1639483893,美剧迷,,【电影《实习生》中文字幕预告片 德尼罗海瑟薇成职场忘年交！】该片讲述安妮扮演的互联网公司的老板，手下被分来一个退了休但人脉强大的“实习生”（罗伯特·德尼罗饰）。[哈哈]《实习生》预告片①【中文字幕】,CujwnadAa,微博 weibo.com,"http://ww1.sinaimg.cn/thumb180/61b889f5gw1euqyncqawfj20b80gogo8.jpg,http://ww3.sinaimg.cn/thumb180/61b889f5gw1euqyovzfpoj20go0b4ab6.jpg,http://ww4.sinaimg.cn/thumb180/61b889f5gw1euqymfmueej20go0b4ta7.jpg,http://ww2.sinaimg.cn/thumb180/61b889f5gw1euqymcj8qhj20go0b4wg3.jpg,http://ww1.sinaimg.cn/thumb180/61b889f5gw1euqymgn3djj20go0ay41g.jpg,http://ww1.sinaimg.cn/thumb180/61b889f5gw1euqymhjgohj20go0b4whb.jpg,http://ww1.sinaimg.cn/thumb180/61b889f5gw1euqymj99ocj20go0b4acq.jpg,http://ww4.sinaimg.cn/thumb180/61b889f5gw1euqyminp5zj20go0b3di0.jpg,http://ww3.sinaimg.cn/thumb180/61b889f5gw1euqymk84urj20go0b4wfj.jpg",,,,1484,184,866,1438699526000
3872281724249204,1891868632,1891868632,妮妮YMM,3872248832435494,等片,CuknqhPpy,iPhone 6 Plus,,,,,0,0,0,1438707369000
3863588731502148,1891868632,1891868632,妮妮YMM,,【贱狗】养宠物的人老说猫咪没良心 不能养 不认主 其实狗更无情 朋友捡了只狗 回家养 给它吃饭给它洗澡 一转身其实就把前主忘记的一干二净  照样吃照样睡 还在新主怀里腻歪 才不会想再找回前主 只有前主才那么傻乎乎天天惦记它 只能说贱狗无情 必忘前主的忆  ——妮妮YMM,CqGet6iMc,iPhone 6 Plus,,,,,0,0,2,1436634797000
3857371002819665,1891868632,1891868632,妮妮YMM,,思考[酷],Co4tSbPwt,iPhone 6 Plus,http://ww1.sinaimg.cn/wap180/70c39fd8jw1etfi1rrjg3j20xc18g4ft.jpg,,,,0,0,0,1435152376000
