消息ID,用户ID,用户名,屏幕名,转发消息ID,消息内容,消息URL,来源,图片URL,音频URL,视频URL,地理坐标,转发数,评论数,赞数,发布时间
3863184572368173,1893461045,1893461045,小房子暖暖,,直播、韩国电视台、资讯、微博上线爱豆神器统统都有！支持你的TA，你必不可少！网页链接,CqvIB9W4l,爱豆APP,http://ww2.sinaimg.cn/wap180/70dbec35jw1ety1qbmnqzj20k00zkgwg.jpg,,,,0,0,0,1436538439000
3728197427998384,1893461045,1893461045,小房子暖暖,,新版微博客户端全新发布啦！新增微博支付，移动消费一触即达；文章讨论专区，分享观点寻找同好；手机端快捷参与#让红包飞#活动，新春豪礼送不停！赶紧更新抢红包！下载地址：网页链接,BbPxIxyKc,微博客户端,"http://ww2.sinaimg.cn/thumb180/6cba0975jw1ecaq84z5itj20dc0lomyk.jpg,http://ww3.sinaimg.cn/thumb180/6cba0975jw1ec9zqhfh4yj20dc0lo75y.jpg,http://ww1.sinaimg.cn/thumb180/6cba0975jw1ecaq874by1j20dc0logn9.jpg",,,,0,0,0,1404354996000
3663046721499645,1502629424,1502629424,潮妈菲菲520,,【潮妈菲菲】转发微博开始！#转发有奖#方法：①转发此条微博 ②@ 三个好友 ③关注@潮妈菲菲520 即有机会获得【淘宝店：潮妈菲菲网页链接 】送出的礼包一份(8件亲子装童装) 我会通过微博官方@转发抽奖平台 抽出幸运小伙伴2名！[围观] [礼物] [威武] 转发走起！ 抽奖时间1月10号,Aqs8g6i7P,转发抽奖平台,http://ww2.sinaimg.cn/wap180/59904e30jw1ec7k7s7l7ij20d70hlq69.jpg,,,,1939,265,40,1388821855000
3665952706696842,1893461045,1893461045,小房子暖暖,3663046721499645,转发微博,ArFJks69A,iPhone客户端,,,,,38,34,0,1389514697000
2211012231252856122,,,,,抱歉，此微博已被作者删除。查看帮助：http://t.cn/zWSudZc,7vuTsb,,,,,,,,,1293074948000
3875647501514992,1893460937,1893460937,区皓凡,,#带着微博去旅行#我在#你不知道的新西兰#活动中发现一篇精彩游记,CvJW66m7m,微博 weibo.com,http://ww1.sinaimg.cn/wap180/70dbebc9jw1ev1t2tphabj205k05k3yc.jpg,,,,0,0,0,1439509832000
3875647488926993,1893460937,1893460937,区皓凡,,#带着微博去旅行#我在#你不知道的英国#活动中发现一篇精彩游记,CvJW4BsjL,微博 weibo.com,http://ww1.sinaimg.cn/wap180/70dbebc9jw1ev1t2s77k5j205k05kmwz.jpg,,,,0,0,0,1439509830000
3875647476646427,1893460937,1893460937,区皓凡,,#带着微博去旅行#我在#你不知道的澳大利亚#活动中发现一篇精彩游记,CvJW3rT2r,微博 weibo.com,http://ww4.sinaimg.cn/wap180/70dbebc9jw1ev1t2qf31dj205k05k0sk.jpg,,,,0,0,0,1439509827000
3875647468251913,1893460937,1893460937,区皓凡,,#带着微博去旅行#我在#你不知道的巴厘岛#活动中发现一篇精彩游记,CvJW2yCHn,微博 weibo.com,http://ww4.sinaimg.cn/wap180/70dbebc9jw1ev1t2oww1uj205k05kq2r.jpg,,,,0,0,0,1439509824000
3868138334821713,1893460937,1893460937,区皓凡,,【视频：맨정신】 （分享自 @优酷） 맨정신,CsAAxkelz,优酷土豆,,,,,0,0,0,1437719508000
