消息ID,用户ID,用户名,屏幕名,转发消息ID,消息内容,消息URL,来源,图片URL,音频URL,视频URL,地理坐标,转发数,评论数,赞数,发布时间
3821280497679553,1892887207,1892887207,最美的太阳在唱歌688,,我分享了@人民日报 的文章 超实用！8大窍门让你真正学会搜索,C8VBnwdNL,Android客户端,,,,,0,0,0,1426547729000
3814175661325697,1892887207,1892887207,最美的太阳在唱歌688,,我希望我喜欢的人能相信我，我是真心实意的想对你好，希望你能明白……,C5WLY5ySd,Android客户端,,,,,0,0,0,1424853804000
3813781123874557,1892887207,1892887207,最美的太阳在唱歌688,,过两天就要去丈母娘家了，有点小紧张啊[纠结][纠结],C5MvCgfWR,Android客户端,,,,,0,0,0,1424759739000
3806226238655594,1892887207,1892887207,最美的太阳在唱歌688,,好久没有上微博了，我觉得这里还是一片净土，没人认识我 ，我不会打扰别人，别人也不会在意我发的东西，只是想在这里说一些心里话……,C2BYjAjIm,Android客户端,,,,,0,0,0,1422958514000
3541962231340492,2883632752,2883632752,19851722bb,,每个人身边都有一个短头发女生，你想到了谁？【更多经典语言关注@帅哥美女服饰搭配】,zhBD15CIQ,美图秀秀Android版,,,,,9,0,0,1359953064000
3542010738627362,2883632752,2883632752,19851722bb,,不见面也有不见面的好，你永远是，我记忆中的样子。【更多经典语言关注@帅哥美女服饰搭配】,zhCTfAcn0,美图秀秀Android版,,,,,1,0,0,1359964629000
3522456625537722,2133962653,2133962653,富图视觉婚纱摄影,,2012-12-12【客片分享2】ss/yy. 看你沉沉的睡去，忍不住轻抱着你，孩子般的无邪安宁，幸福就那么笃定；突然想写一封信给我亲爱的你，我们一起笑着看沿途风景，我最亲爱的你，最真的一句永远守着爱着你，带着梦想前进，珍惜那最初炙热的心，最亲爱的你! @富图视觉婚纱摄影 @yin丶茵 全体员工送上祝福!,z9qcmneC6,专业版微博,http://ww1.sinaimg.cn/wap180/7f31af9dgw1dzr1m09sk9j.jpg,,,,98,5,2,1355302566000
3432213171911192,2231364043,2231364043,喜乳酪HeyYO,,“HeyYo！！约您看电影”即日起至4月28日期间，关注并@喜乳酪HeyYO，同时转发此条活动微博并@3位以上好友。本条个人微博被转发次数达20以上，即有机会获得丰厚礼品套装！！还等什么？快行动吧！,ydw0J81bG,微博 weibo.com,http://ww2.sinaimg.cn/wap180/84ffe9cbgw1drr5bihbfzj.jpg,,,,300,109,0,1333786849000
3874665929990942,2626682903,2626682903,宝宝辅食跟我学,,#宝宝辅食分享# 【山药泥】适合6个月以上的宝宝，处理山药时记得戴手套，其黏液含有植物碱，粘在手上会非常的痒@小北的妈咪_,CvkoUFV6e,热门微博,"http://ww2.sinaimg.cn/thumb180/9c900017jw1euyocgcsl5j20tz1737f4.jpg,http://ww3.sinaimg.cn/thumb180/9c900017jw1euyocgrl4lj20tw1augz6.jpg,http://ww4.sinaimg.cn/thumb180/9c900017jw1euyoch41h6j20u01argyu.jpg,http://ww1.sinaimg.cn/thumb180/9c900017jw1euyochhs1aj20u01angyu.jpg",,,,109,16,59,1439275807000
3874797739984696,1892887597,1892887597,豆儿-i,3874665929990942,@Sweet飯蔡湯 ,CvnPvFTtu,三星GALAXY S4,,,,,0,0,0,1439307233000
