消息ID,用户ID,用户名,屏幕名,转发消息ID,消息内容,消息URL,来源,图片URL,音频URL,视频URL,地理坐标,转发数,评论数,赞数,发布时间
3725772374153187,1784827665,1784827665,关注我不后悔,,一般新闻联播主持人，结束语是“今天的《新闻联播》播送完了”，另外一个会说“谢谢收看”，而郎永淳的结束语往往是“今天的新闻联播就是这样（无奈的口吻）”，总觉得另外一个要说“我们也没办法啊……”。(转),BaOslhqqT,皮皮时光机,http://ww2.sinaimg.cn/wap180/6a624f11jw1ehro5p4cttj20dw07u3z8.jpg,,,,736,56,108,1403776818000
3726056018333693,1893346635,1893346635,围脖坐看云起时,3725772374153187, //@我们爱讲冷笑话:这么一说还真是！！[偷笑],BaVPPyXYp,iPhone客户端,,,,,0,3,1,1403844444000
3672178858734029,1757353251,1757353251,电影工厂,,【推荐9部你值得至少看三遍的电影】欢迎补充！,AuhHvAE7r,微博 weibo.com,"http://ww2.sinaimg.cn/thumb180/a7554f90jw1ecj62f5cpcj20go0kjn4h.jpg,http://ww4.sinaimg.cn/thumb180/a7554f90jw1ecj62e6y39j20go0j5n1m.jpg,http://ww4.sinaimg.cn/thumb180/a7554f90jw1ecj4n02iggj20go0j3n32.jpg,http://ww1.sinaimg.cn/thumb180/a7554f90jw1ecj4n0qfz6j20go0ictdo.jpg,http://ww2.sinaimg.cn/thumb180/a7554f90jw1ecj4n1o7pfj20go0jfwk8.jpg,http://ww4.sinaimg.cn/thumb180/a7554f90jw1ecj4n2diuoj20go0ie79u.jpg,http://ww2.sinaimg.cn/thumb180/a7554f90jw1ecj8mhddnej20gi0j2n32.jpg,http://ww4.sinaimg.cn/thumb180/a7554f90jw1ecj4n51atxj20go0j8aez.jpg,http://ww4.sinaimg.cn/thumb180/a7554f90jw1ecj4n4d5yaj20go0jb0yl.jpg",,,,22615,2081,5059,1390999126000
3672194518891674,1893346635,1893346635,围脖坐看云起时,3672178858734029,看起来。。 //@治愈系心理学:很经典哦,Aui6LBj86,iPhone客户端,,,,,0,0,1,1391002861000
3667707406359409,1893346635,1893346635,围脖坐看云起时,,新版微博客户端全新发布啦！发布器全面升级，更多兴趣快捷分享；新增微博支付，移动消费一触即达；手机端快捷参与#让红包飞#活动，新春豪礼送不停！赶紧更新抢红包！下载地址：网页链接,AspnuqGn7,微博客户端,"http://ww3.sinaimg.cn/thumb180/6cba0975jw1ec6k3n42i1j20dc0m8gnb.jpg,http://ww1.sinaimg.cn/thumb180/6cba0975jw1ec6k3on4blj20dc0m8jt0.jpg,http://ww1.sinaimg.cn/thumb180/6cba0975jw1ec6k3poazjj20dc0m875y.jpg",,,,0,0,0,1389933051000
3624949417310055,1752529210,1752529210,通用航空,,美国管制ATC的工资情况（零星数据）。 来源：Google search 后几个网站 政府统计在： 网页链接,Aat2ZuFG7,微博 weibo.com,"http://ww3.sinaimg.cn/thumb180/6875793agw1e8u0qkwgz3j20rx0e0jug.jpg,http://ww1.sinaimg.cn/thumb180/6875793agw1e8u0qykztij20rx2enk42.jpg",,,,5,5,0,1379738752000
3616221817390256,1659756840,1659756840,新浪航空,,#空客A380大部件运输#【大白鲸的自白】早上好各位，提前祝中午好，哈哈。来看看我吃东西的样子，是不是很帅。忘了介绍，我叫beluga，中文名是“大白鲸”。他们都说我很萌，其实咱是走霸气路线的[酷]我的高清无码写真在这里→网页链接 围观我：视频,A6O0dv0xG,微博 weibo.com,http://ww4.sinaimg.cn/wap180/62ede128jw1e826fh3g6tj20c81dswmm.jpg,,,,139,28,9,1377657930000
3611666057491664,,,,,抱歉，此微博已被作者删除。查看帮助：http://t.cn/zWSudZc,A4TudvqVi,,,,,,,,,1376571752000
3611407683337209,1752529210,1752529210,通用航空,,许多人问美国机场如何维持？ 这是美国一中西部一个通航机场＋飞行社区的例子。 机场大小和设施见附页。收费项目和标准见：网页链接 。 由于是公共机场，大型的维修和扩建的90％由FAA出资（需申请）。 平时运营费用如果收入不足由当地政府出资。,A4MLue09X,微博 weibo.com,"http://ww3.sinaimg.cn/thumb180/6875793ajw1e7mtg8dtr8j20rw0efq6p.jpg,http://ww3.sinaimg.cn/thumb180/6875793ajw1e7mtju2v94j20ry0xotgl.jpg",,,,6,0,0,1376510151000
3604236540040579,1197161814,1197161814,李开复,,【开场15秒，四条建议提升你的演讲】1）别花时间自我介绍了，写个100字自述交给主持人，让他介绍你；2）想一上来讲个笑话暖场？请三思，尤其是你的笑话不一定好笑的时候；3）直奔主题，少扯背景，听众的精力有限；4）用一页PPT展示一个足够新奇或者重要的事实，抓住听众的眼球。网页链接,A1Md80ayv,脉搏网,http://ww3.sinaimg.cn/wap180/475b3d56jw1e6zxyk8tnzj20fz07iwfw.jpg,,,,11825,785,1175,1374800417000
3593752482575903,1890696165,1890696165,欢乐的云端之上,,国内某新航空公司招聘机长：机型A320，C类教员打包价500万，B类到机长每向下一档少10万，签合同以后开飞以前每月工资6万（这期间允许去其他航打临工），开飞以后工资4万（税前）。预计收入是120到150万年薪……,zDkVGaO6P,Weico.iPhone,http://ww4.sinaimg.cn/wap180/70b1bbe5jw1e62hvs041ij20hs0nsjth.jpg,,,,1190,398,25,1372300823000
3562058354129934,1881906345,1881906345,国际街拍,,最近觉得好累的同学请默默转发……,zq2q7hknQ,微博 weibo.com,http://ww3.sinaimg.cn/wap180/702b9ca9jw1e39duzfokvj.jpg,,,,214,8,5,1364744354000
3705978291750091,1893346705,1893346705,Ian季,,#无盒子 不开撸# 越战越勇，这盘比赛我（寡妇造制者）连杀超过20人！ （分享自 @多玩英雄联盟盒子） 网页链接,B2vwp7lhh,分享按钮,,,,,0,1,0,1399057541000
3656995603433978,1893346705,1893346705,Ian季,,我又回来啦 我在:网页链接,AnUIoepkK,iPhone客户端,http://ww2.sinaimg.cn/wap180/70da2d91jw1ebo994t1w2j209q0eldgd.jpg,,,,0,0,0,1387379158000
3635597933805953,2451549504,2451549504,几米漫画集,,"人到了晚上都是感性的动物，会想很多事，而且多半是痛苦的，这种情绪控制不住，轻轻一碰就痛。不要因为一点瑕疵而放弃一段爱情,毕竟在爱情里,需要的是真情，而不是完美。耐心点,坚强点；总有一天,你承受过的疼痛会有助于你。生活从来不会刻意亏欠谁,它给了你一块阴影,必会在不远的地方撒下阳光。(转)",AeW41fY6l,皮皮时光机,http://ww3.sinaimg.cn/wap180/921fad40jw1e9rzrl2ew3j20c806vmxg.jpg,,,,4620,227,254,1382277555000
3622460467580840,,,,,抱歉，此微博已被作者删除。查看帮助：http://t.cn/zWSudZc,A9qiyvO7C,,,,,,,,,1379145340000
3620760474083845,1713926427,1713926427,微博搞笑排行榜,,有一种司机，叫，新手。[哈哈] (转),A8I4Dh8ot,微博 weibo.com,"http://ww1.sinaimg.cn/thumb180/6628711bgw1e8gn5f5vclg207i059b29.gif,http://ww2.sinaimg.cn/thumb180/6628711bgw1e8gn6goxajg209l048qv5.gif,http://ww1.sinaimg.cn/thumb180/6628711bgw1e8gn78nkutg208203gb2a.gif,http://ww1.sinaimg.cn/thumb180/6628711bgw1e8gn8fvdhmg207s04we83.gif,http://ww4.sinaimg.cn/thumb180/6628711bgw1e8gnah89z6g208c04lqv9.gif,http://ww4.sinaimg.cn/thumb180/6628711bgw1e8gnbm3uf7g208c04dhdv.gif,http://ww2.sinaimg.cn/thumb180/6628711bgw1e8gncyiptug206o04hb2b.gif,http://ww2.sinaimg.cn/thumb180/6628711bgw1e8gndi9oo6g206104jhdt.gif,http://ww1.sinaimg.cn/thumb180/6628711bgw1e8gnfa0q3fg207f03y7wk.gif",,,,37590,2432,816,1378740029000
3615644198926586,1985551380,1985551380,全球电影收录,,【BBC记录片《古代启示录》】1.尼罗河的湮灭视频 2.米诺安之谜视频 3.玛雅文明的崩塌视频 4.所多玛与蛾摩拉视频  5.庞贝古城的最后一天视频  6.罗马斗兽场 视频  7.金字塔 视频,A6yYzBsdc,皮皮时光机,http://ww4.sinaimg.cn/wap180/76591c14jw1e80c40ybfvj208c0bz0sy.jpg,,,,1831,50,43,1377520214000
