消息ID,用户ID,用户名,屏幕名,转发消息ID,消息内容,消息URL,来源,图片URL,音频URL,视频URL,地理坐标,转发数,评论数,赞数,发布时间
3726056835628322,2309610194,2309610194,遇见的意义,,当我叙述别人故事的时候，深刻了解到不论对象是谁，怀旧都是一种病。尤其是怀旧青春的东西，根本没有什么年少得志和意气风发。中国所有人的青春期都是压抑的失败者。怀旧这种病让他们光明正大地勇敢了一回，承认自己是失败的，这勇气仅限于自己的过去式。,BaVR9nCbo,微博 weibo.com,,,,,5,14,0,1403844639000
3726213023379614,1889030167,1889030167,重新的路途,3726056835628322,热死了,BaZV4ebbU,微博 weibo.com,,,,,0,0,0,1403881877000
3725767856719509,2309610194,2309610194,遇见的意义,,现在做的每一件事都好像是在向以前懒过的时间还债，连说“知足”都显得有点活该。,BaOl3sc3b,微博 weibo.com,,,,,14,28,0,1403775741000
3726212977108699,1889030167,1889030167,重新的路途,3725767856719509,早点休息吧,BaZUZtPir,微博 weibo.com,,,,,0,0,0,1403881866000
3568979358508142,2309610194,2309610194,遇见的意义,,最尴尬的，不过就是处于被长辈说“你们这个年纪能拥有一切”而事实上自己一无所有的年纪。,zsWt1zHm6,微博 weibo.com,,,,,58,18,0,1366394450000
3568566341034939,2829133060,2829133060,陳孫華,,今天高中同学忽然给我打电话，她说要结婚了。这是个早熟的女生，入学第一天自我介绍，她在讲台上说她想环游世界，老师说她不切实际，她也不叼。她现在在做导游，带境外团，已去到全世界30多个国家，原来年少时的理想和憧憬都没有被遗忘，都有在实现，这样真好。,zsLIS4lez,微博 weibo.com,,,,,27,84,0,1366295977000
3466556871206280,2829133060,2829133060,陳孫華,,每次收到包裹后的最大恐惧就是我必须挤完包装袋上的所有泡泡才能去干别的事。,yrVrN53O8,微博 weibo.com,,,,,37,83,0,1341975026000
3810421335187118,2905098090,2905098090,贩卖男品,,【男人！你必须学会的几个事情】1.学会吃苦，吃苦是一生的本事；2.学会忍耐，人生常常需要等待；3.学会尝试；尝试让人明智，尝试才有机会；4.学会感恩，心存感恩，人缘必好；5.学会宽容，宽容带来快乐；6.学会沟通，增进信任，消除障碍；7.学会拒绝，有为有不为；8.学会妥协，在让步中进取！,C4n6BlLpc,皮皮时光机,http://ww1.sinaimg.cn/wap180/ad28476ajw1ep9pyfq69mj20a60cuaak.jpg,,,,8,2,12,1423958702000
3810443447526385,1889030240,1889030240,蠢博铭-Coming,3810421335187118,致自己,C4nGgvzXj,iPhone客户端,,,,,0,0,0,1423963974000
3755026348680985,2866323540,2866323540,环球科技报,,【超级知识帖：史上最全的word终极技巧】对于职场人士，很多工作都需要熟练使用Word办公，因为没有它我们许多任务无法完成，报告、工作、会议笔记。。转载！。特意整理了word所有的常用快捷技巧，值得你永久收藏！,Bn5uaAqjT,皮皮时光机,"http://ww2.sinaimg.cn/thumb180/aad8a054jw1ekczxgvesuj20c811c42a.jpg,http://ww3.sinaimg.cn/thumb180/aad8a054jw1ekczxh1uh3j20c823an6h.jpg,http://ww2.sinaimg.cn/thumb180/aad8a054jw1ekczxhafcjj20c80qvwhg.jpg,http://ww2.sinaimg.cn/thumb180/aad8a054jw1ekczxhgdmzj20c80jkjtg.jpg,http://ww3.sinaimg.cn/thumb180/aad8a054jw1ekczxhj4mkj20c80qxwhh.jpg,http://ww4.sinaimg.cn/thumb180/aad8a054jw1ekczxhlmsdj20c80gwjt6.jpg,http://ww1.sinaimg.cn/thumb180/aad8a054jw1ekczxhrbpqj20c80xiwip.jpg,http://ww1.sinaimg.cn/thumb180/aad8a054jw1ekczxi1uplj20c811mq8h.jpg,http://ww2.sinaimg.cn/thumb180/aad8a054jw1ekczxi5aucj20c80rktco.jpg",,,,243,6,18,1410751509000
3755926052130359,1889030240,1889030240,蠢博铭-Coming,3755026348680985, //@独自旅行的-宝济Yan://@魔鬼金融学:史上最全的word终极技巧,BnsTj8WcD,iPhone客户端,,,,,0,0,0,1410966014000
3700427843913053,2496739535,2496739535,女生漫画,,男生，你凭什么不努力？|转,B0b84gpXL,皮皮时光机,http://ww4.sinaimg.cn/wap180/94d138cfjw1efitdmyk9wj20c73w1jzc.jpg,,,,955,54,100,1397734211000
3701568332969832,1889030240,1889030240,蠢博铭-Coming,3700427843913053,//@商界百科: 男生，你凭什么不努力？[亲亲]女生必看的图片和漫画都在这里，这里是女生的天地.,B0ENzcsAw,微博 weibo.com,,,,,0,0,0,1398006125000
3684861992656617,2375866212,2375866212,NBA篮球实用技巧,,学会三种就屌炸天了！加农贝克教你13种NBA球星的过人绝招（慢动作） 视频,AzBEbb96F,360安全浏览器,,,,,528,71,240,1394023024000
3684904354962367,1889030240,1889030240,蠢博铭-Coming,3684861992656617,转发微博,AzCKvkOWb,微博 weibo.com,,,,,0,0,0,1394033123000
3647540324917469,,,,,抱歉，此微博已被作者删除。查看帮助：http://t.cn/zWSudZc,AjWJWkDg1,,,,,,,,,1385124844000
3647689642004024,1889030240,1889030240,蠢博铭-Coming,3647540324917469,转发微博,Ak0CM8pkY,三星android智能手机,,,,,0,1,0,1385160444000
3645070554954862,1889030240,1889030240,蠢博铭-Coming,,我们的距离越来越远爹,AiUurkMZ8,三星android智能手机,,,,,0,0,0,1384536005000
3644673828489839,1889030240,1889030240,蠢博铭-Coming,,死贼仔连我条七匹狼底裤都偷，没钱买底裤叫我给钱你买咯，偷得底裤多迟早生艾滋。[怒][怒]死变态 死变态···,AiKayzCAT,微博 weibo.com,,,,,0,10,3,1384441418000
3644527216662396,1889030240,1889030240,蠢博铭-Coming,,小臭臭——《你是我的眼》,AiGm5rXc0,微博 weibo.com,,,,,0,0,0,1384406463000
3573845073790126,2770790410,2770790410,吃货吃遍广州,,【香港才多大？去找狗！】这只失踪的雪獒叫“洛奇”，是身价逾千万的大白雪獒，主人为香港九龙塘大富人家，早前带它散步时走失，他寻爱犬心切，在多辆小巴车身贴上寻狗启事，并以500万元重酬，报答能为他找回雪獒者。（转）香港也不大，带好通行证找狗去了！~>>想轻松玩转广州？敬请关注@吃货吃遍广州,zuZ2XfTZ4,Weico.iPhone,http://ww1.sinaimg.cn/wap180/a526e80ajw1e4azjqxolpj20ab0dwtae.jpg,,,,4616,483,45,1367554526000
3572940224259140,1730285714,1730285714,文澤_H,,@蠢博铭-Coming 生日快樂啊啊啊啊啊啊，早日事業有成啊！！！祝你生日快樂，祝你生日快樂。[奥特曼][心][话筒],zuBvwhRZO,360安全浏览器,,,,,9,5,0,1367338794000
3572940224259140,1730285714,1730285714,文澤_H,,@蠢博铭-Coming 生日快樂啊啊啊啊啊啊，早日事業有成啊！！！祝你生日快樂，祝你生日快樂。[奥特曼][心][话筒],zuBvwhRZO,360安全浏览器,,,,,9,5,0,1367338794000
3572940224259140,1730285714,1730285714,文澤_H,,@蠢博铭-Coming 生日快樂啊啊啊啊啊啊，早日事業有成啊！！！祝你生日快樂，祝你生日快樂。[奥特曼][心][话筒],zuBvwhRZO,360安全浏览器,,,,,9,5,0,1367338794000
3868809188512007,2803301701,2803301701,人民日报,,【高智商儿童的22种特征】暑假，家长和孩子相处时间较长。你是否发现，孩子常沉浸在自己世界中听不到你叫他吃饭？经常刨根问底，爱提奇奇怪怪的问题？思维跳跃，把两个毫无关联东西联在一起？如果有这些特征，别嫌TA烦，也许是高智商表现！专家指出22种高智商儿童特征，戳图↓看你家宝宝中了几条？,CsS2yzImr,人民日报微博,"http://ww2.sinaimg.cn/thumb180/a716fd45jw1eufzph76lyj20c80c8q4i.jpg,http://ww2.sinaimg.cn/thumb180/a716fd45jw1eufzph7ijwj20c80c8jsu.jpg,http://ww1.sinaimg.cn/thumb180/a716fd45jw1eufzphbsvxj20c80c83zz.jpg,http://ww3.sinaimg.cn/thumb180/a716fd45jw1eufzpgxfg0j20c80c8404.jpg,http://ww1.sinaimg.cn/thumb180/a716fd45jw1eufzpgtiljj20c80c8760.jpg,http://ww1.sinaimg.cn/thumb180/a716fd45jw1eufzpgpoglj20c80c8tab.jpg,http://ww2.sinaimg.cn/thumb180/a716fd45jw1eufzpgs493j20c80c8myq.jpg,http://ww3.sinaimg.cn/thumb180/a716fd45jw1eufzph2j08j20c80c8myo.jpg,http://ww2.sinaimg.cn/thumb180/a716fd45jw1eufzphgztbj20c80c80u9.jpg",,,,4096,528,1498,1437879452000
