消息ID,用户ID,用户名,屏幕名,转发消息ID,消息内容,消息URL,来源,图片URL,音频URL,视频URL,地理坐标,转发数,评论数,赞数,发布时间
3499554605455574,,,,,抱歉，此微博已被作者删除。查看帮助：http://t.cn/zWSudZc,yFLRWmTf8,,,,,,,,,1349842299000
3856165157026109,1888909381,1888909381,直属静ling,,七年～～～[哈哈],Cnz6XttOl,nubia Z5S mini,,,,,0,0,0,1434864880000
3830535380436010,2097225683,2097225683,思想说,,九个必学的快捷键技能，需要的小伙伴们速度get√,CcOmC1Pqq,微博 weibo.com,"http://ww2.sinaimg.cn/thumb180/7d011fd3jw1er1w0r7q8lj20c80c80td.jpg,http://ww4.sinaimg.cn/thumb180/7d011fd3jw1er1w0rdziwj20c80c8wf4.jpg,http://ww2.sinaimg.cn/thumb180/7d011fd3jw1er1w0rjffkj20c80c8gm9.jpg,http://ww1.sinaimg.cn/thumb180/7d011fd3jw1er1w0rrx2lj20c80c8wf3.jpg,http://ww2.sinaimg.cn/thumb180/7d011fd3jw1er1w0s8q69j20c80c8gm9.jpg,http://ww4.sinaimg.cn/thumb180/7d011fd3jw1er1w0shfjkj20c80c8wf3.jpg,http://ww1.sinaimg.cn/thumb180/7d011fd3jw1er1w0spnhkj20c80c8t9a.jpg,http://ww1.sinaimg.cn/thumb180/7d011fd3jw1er1w0svhd1j20c80c8gm6.jpg,http://ww2.sinaimg.cn/thumb180/7d011fd3jw1er1w0t1kesj20c80c80tc.jpg",,,,3657,85,994,1428754265000
3830555793896855,1888909381,1888909381,直属静ling,3830535380436010,转发微博,CcOTxglKv,nubia Z5S mini,,,,,0,0,0,1428759132000
3811872405301495,1888909381,1888909381,直属静ling,,#东方早报发红包#挣钱是一种能力，抢红包拼的是技术。我抢到了@东方早报 和@让红包飞 一起发出的现金红包，羊年好运就此开启！你也来试试手气吧~╮ (￣ 3￣) ╭东方早报 的红包,C4YR2mf9Z,粉丝红包,,,,,0,0,0,1424304665000
3811872069590414,1888909381,1888909381,直属静ling,,#董璇的红包#抢红包图的就是个吉利！[发红包]我在董璇 的粉丝红包中抽到了@快的打车 提供的“快的打车6元红包”，你也快来试试手气！董璇 的红包,C4YQuEeU6,粉丝红包,,,,,0,0,0,1424304585000
3811232404601141,1888909381,1888909381,直属静ling,,坚守到最后～～[泪流满面]  @Li--小玲 @双鱼座海鱼 @惟愛妳de壞壊 @木木_吴鲫鲫 过年约吗？,C4IcMjiXX,小米手机2S,http://ww1.sinaimg.cn/wap180/70967845jw1epcazu9m3pj20qo0f0t90.jpg,,,,0,7,1,1424152077000
3798496089606815,2163472824,2163472824,Lady-Chu,,【NARUTO】舞台剧演员定妆照,BFkkEEjaD,微博 weibo.com,"http://ww3.sinaimg.cn/thumb180/80f3f9b8gw1eo7obm81g5j20gy0nzgpu.jpg,http://ww1.sinaimg.cn/thumb180/80f3f9b8gw1eo7obojdhgj20gy0s3dl7.jpg,http://ww4.sinaimg.cn/thumb180/80f3f9b8gw1eo7oc1dq3uj20gy0o3tcf.jpg,http://ww3.sinaimg.cn/thumb180/80f3f9b8gw1eo7oc3ptm8j20go0np78i.jpg,http://ww2.sinaimg.cn/thumb180/80f3f9b8gw1eo7oc6ugxtj20dw09t76f.jpg,http://ww4.sinaimg.cn/thumb180/80f3f9b8gw1eo7ocfj7i7j20i20ctq5w.jpg,http://ww1.sinaimg.cn/thumb180/80f3f9b8gw1eo7ockbk9aj20i20ctacm.jpg,http://ww2.sinaimg.cn/thumb180/80f3f9b8gw1eo7ocmyxbqj20i20ctgo1.jpg,http://ww2.sinaimg.cn/thumb180/80f3f9b8gw1eo7ocpxq5jj20i20ctwgs.jpg",,,,1527,92,240,1421115503000
3798659667972946,1888909381,1888909381,直属静ling,3798496089606815,[嘻嘻],BFoAuxs7U,小米手机2S,,,,,0,0,0,1421154503000
3733372503327322,1888909381,1888909381,直属静ling,,对鼓浪屿有点失望 湖滨中路,Be0aCdXAu,小米手机2S,"http://ww1.sinaimg.cn/thumb180/70967845jw1eifx0gjkpqj20p018gn17.jpg,http://ww4.sinaimg.cn/thumb180/70967845jw1eifx0j29voj20p018gtb3.jpg",,,,0,2,0,1405588830000
3721490115859987,1888909381,1888909381,直属静ling,,加油！！！ 东莞·桑园广场,B913toArV,小米手机2S,http://ww2.sinaimg.cn/wap180/70967845jw1ehe0c691z2j20p018ggon.jpg,,,,0,0,0,1402755848000
3683282611329214,1857870872,1857870872,美食资讯,,【腊味土豆饭】做法：1腊肠腊肉用开水烫一下，切薄片 2土豆去皮切块 3锅里放少许油，下腊肉腊肠爆香，4加入土豆两面煎香，加少许酒爆香，加鸡精和糖，胡椒粉调味 5米洗干净，按平时煮饭的分量加水 6把炒好的土豆腊肉放在饭上，按下煮饭开关 7跳闸之后，开锅放少许香葱下去，焖15-20分钟，拌匀即可。,AyWyN5zMW,皮皮时光机,http://ww3.sinaimg.cn/wap180/6ebcdc18jw1ee049xkcz5j20h80pu0ty.jpg,,,,164,9,13,1393646468000
