消息ID,用户ID,用户名,屏幕名,转发消息ID,消息内容,消息URL,来源,图片URL,音频URL,视频URL,地理坐标,转发数,评论数,赞数,发布时间
3824466637827269,1793285524,1793285524,王力宏,,謝謝@QQ音乐 親愛的宏親，這些都是因為你的愛！[爱你],CagujwQeh,,http://ww2.sinaimg.cn/wap180/6ae35d94jw1eqiiq27gg6j20hs0e5tb2.jpg,,,,4520,6520,65243,1427307364000
3824621256664109,1885488793,1885488793,静羽宏菲,3824466637827269,[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞]//@王力宏微吧:二哥棒棒哒[赞][赞][赞]早～,CakvHrXDD,小米手机3,,,,,0,0,0,1427344227000
3754768377871119,2108529020,2108529020,处女座_Virgo,,【如果一个处女座沉默了，是很危险的。TA可能……】1、有心事；2、厌倦了等待；3、要爆炸了；4、需要拥抱；5、崩溃了；6、心在哭泣；7、以上全部。。。,BmYM5x1Dx,处女座网,http://ww1.sinaimg.cn/wap180/7dad997cjw1ekc6awvfx6j20cs08imyy.jpg,,,,150,19,90,1410690004000
3755224970106437,1885488793,1885488793,静羽宏菲,3754768377871119,转发微博,BnaEx0rGJ,小米手机3,,,,,0,0,0,1410798864000
3709450941075002,1885488793,1885488793,静羽宏菲,,#Hito流行音樂頒獎典禮#歷年最愛華語Hito男歌手PK @王力宏 @林俊杰 @羅志祥 #周杰倫# 誰是你最愛的男歌手呢?立即投票：Hito流行音樂頒獎典禮歷代最愛藝人大PK_微博網路活動 @新浪台灣,B3XRs4vEK,tw.weibo.com,http://ww1.sinaimg.cn/wap180/70624699jw1egblo0rrffj205k06ymx7.jpg,,,,0,0,0,1399885485000
3703173447551781,2108529020,2108529020,处女座_Virgo,,【处女座真面目】1、多情的外表，专一的内心。2、贪睡的脑袋，吃货的嘴。3、管不住的性子，火爆的脾气。4坚强的外表，脆弱的心。5、对爱情很迟疑，对友情很慎重。6、讲义气的性格，总吃亏的主儿。7、一颗小小财迷心，一点微微发财梦。8、选择恐惧症，夜猫症候群。中枪的处处顶起！,B1kysvGyV,处女座网,http://ww3.sinaimg.cn/wap180/7dad997cjw1efrkpgp55gj20e60f476r.jpg,,,,222,46,158,1398388814000
3703217441571418,1885488793,1885488793,静羽宏菲,3703173447551781,转发微博,B1lHq6ANs,小米手机2S,,,,,0,0,0,1398399302000
3700361958823725,1743980133,1743980133,老段子手,,有没有那么一个人，只要TA一更新状态，你就想说.......傻逼。,B09pNB1s9,孔明社交管理,http://ww3.sinaimg.cn/wap180/67f30665jw1efilt8cqkaj208c08c0ss.jpg,,,,64,26,64,1397718501000
3700392686797030,1885488793,1885488793,静羽宏菲,3700361958823725,转发微博,B0admswdw,小米手机3,,,,,0,0,0,1397725829000
3677486951218891,1053953693,1053953693,杨建国,,【中国移动的“一国两制”】 中国移动在香港推出68港元(约合53元人民币)套餐：1700分钟通话、10000条短信，上网流量无限。而内地58元套餐：350分钟，10MB流量。难道我们的生活水平比香港高100倍？这个套餐在香港并非最低，原因是香港有竞争 。。。请大家转发，让更多人看清什么是“一国两制”！(环企),AwvMX575x,iPad客户端,http://ww3.sinaimg.cn/wap180/3ed20e9djw1edhmoek6vij20dc08wt9l.jpg,,,,23683,2187,1477,1392264676000
