消息ID,用户ID,用户名,屏幕名,转发消息ID,消息内容,消息URL,来源,图片URL,音频URL,视频URL,地理坐标,转发数,评论数,赞数,发布时间
3345901890377251,,,,,抱歉，此微博已被作者删除。查看帮助：http://t.cn/zWSudZc,xjg7j1A8H,,,,,,,,,1313208637000
3346662078932877,1252373132,1252373132,全球热门排行榜,,原来大部分3D动画都是这样拍的。。。船长你亮了！,xjzTpBtQF,UC浏览器客户端,http://ww3.sinaimg.cn/wap180/4aa5b28cjw1dk67xw98lag.gif,,,,1364,270,0,1313389880000
3346665592978214,1660612723,1660612723,可爱宠物中心,,真正爱狗的人，不会对狗狗的品种有歧视，不会认为它丑，不会嫌弃它脏，不会虐待它，不会只把它当玩物，更不会遗弃它，真正爱狗的人，会爱它，会心疼它，会和它说话，会陪它玩耍，会保护它不受伤害，会把它当朋友一样看待。,xjzZ5cuLI,皮皮时光机,http://ww1.sinaimg.cn/wap180/62faf073jw1dk68cg9kbgj.jpg,,,,1328,366,0,1313390719000
3345190946235547,2039993753,2039993753,一鸣水准之家,,看完这组图片，谁还忍心伤害动物。,xiXCCqa9l,微博 weibo.com,http://ww4.sinaimg.cn/wap180/7997d599gw1dk1izd1o70j.jpg,,,,293,67,0,1313039135000
3747704570206025,1890286643,1890286643,塞维利亚的老法师,,《头汤面的记忆》 所谓的头汤面，是指面条店一天刚开门，用换上的清水所煮的第一批面条。那时，为了6点钟吃到学校附近的头汤辣酱面，不管多冷的天，每天从浦东骑车45分钟赶到浦西，就为吃上那个叫“腊梅”姑娘下的面，就为了热面下肚的那份满足，就为了抢在其他面友前的那份自豪。那年，我们16岁。,Bk10R0RAZ,New HTC One,http://ww3.sinaimg.cn/wap180/70ab7c33jw1ejpn1as62aj20k00ep0ty.jpg,,,,0,0,1,1409005861000
3697919410633490,1698513182,1698513182,虎扑足球,,#虎扑视频# 英超历史50大进球 小贝中圈吊门屈居第二    英超历史50大进球 小贝中圈吊门屈居第二,AF5kx2ENA,皮皮时光机,http://ww2.sinaimg.cn/wap180/653d411ejw1efataeweaaj20dw08bgn0.jpg,,,,87,45,40,1397136153000
3697937433686598,1890286643,1890286643,塞维利亚的老法师,3697919410633490,转发微博,AF5NBft3g,三星Galaxy Note II,,,,,0,0,0,1397140451000
3677829881263868,2256231983,2256231983,上海热门资讯,,矮油，人类，你是在拍照吗？带我一个呗~~[嘻嘻] （转）,AwEI45iMY,微博 weibo.com,http://ww4.sinaimg.cn/wap180/867b5e2fgw1edip3ovtkmj20c85pdqt4.jpg,,,,137,15,10,1392346437000
3677848671882036,1890286643,1890286643,塞维利亚的老法师,3677829881263868,温馨,AwFcn7TBq,三星Galaxy Note II,,,,,0,0,0,1392350917000
3663909372724602,1890286643,1890286643,塞维利亚的老法师,,有的人只属于一个地方，无论他曾经或是之后逗留过什么地方：76人的艾佛森，曼联的小贝，枪手的亨利，皇马的劳尔，还有今晚的卡卡，神一般的存在！虽然满脸的絡腮提醒着我们，你也进入了职业生涯的末期，但是我们看到了你的拼搏，读懂了你的忠诚，祈祷着能有你的夏天！ 我在:朗州路,AqOzDbqNc,三星Galaxy Note II,,,,,0,0,0,1389027529000
