消息ID,用户ID,用户名,屏幕名,转发消息ID,消息内容,消息URL,来源,图片URL,音频URL,视频URL,地理坐标,转发数,评论数,赞数,发布时间
3698941185854483,1821872275,1821872275,中国移动湖北公司,,#E问E答#[康乃馨]春花秋月何时了，移动业务知多少?[想一想]小E出题你来猜，电子券好礼赚到high！[撒花]参与每日有奖答题（关注+看图答题+转发附带正确答案@ 3位好友），即有机会获得200元电子券！[群体围观]【140413期】问题戳↓图，答案3个字！14日16点开奖噢！（攻略→网页链接 ）,AFvUyoz19,微博 weibo.com,"http://ww2.sinaimg.cn/thumb180/6c979093gw1efe2mnxe4ej20go0p0dix.jpg,http://ww1.sinaimg.cn/thumb180/6c979093gw1efe2msndhzj20go0p0gsj.jpg",,,,158,2898,5,1397379763000
3699266743484924,1889861717,1889861717,一二三四像首歌的小屋,3698941185854483,和视频 @圣母院招敲钟的 @疯子专属神经病 @白巧克力LJ,AFEnEeCAs,iPhone客户端,,,,,0,2,2,1397457381000
3697826611897681,2823843200,2823843200,湖北移动10086官方微博,,#4G代言享多重豪礼#6月30日前，登录和动漫、彩印、彩漫、漫赏表情等4个客户端，将“我为4G代言”中的4G宣传内容分享推荐给亲朋好友，就送流量、夺500元支付券、抢iPad4和iPhone5s！转发微博@ 好友，还有机会获得500元电子券！代言地址：网页链接 网页链接,AF2UR7XFL,微活动,http://ww3.sinaimg.cn/wap180/a8506d80jw1efaijls6rtj20mz0snwoh.jpg,,,,29482,2983,7,1397114029000
3699266726707586,1889861717,1889861717,一二三四像首歌的小屋,3697826611897681,我为4G代言享豪礼（送流量 夺支付券 抢iPad4 赢5S）有诱惑力啊，来支持关注了. @无锡唐宁 @eva2325694781 @回锅肉先生- @丁妃雅 @Jiandyy,AFEnCs8WS,微博 weibo.com,,,,,0,0,0,1397457378000
3693805163831992,1889861717,1889861717,一二三四像首歌的小屋,,性是肉体生活，遵循快乐原则。爱情是精神生活，遵循理想原则。婚姻是社会生活，遵循现实原则。这是三个完全不同的东西，婚姻的困难在于，如何在同一个异性身上把三者统一起来。——周国平《婚姻与爱情》,ADmiEg4Sk,微博 weibo.com,http://ww3.sinaimg.cn/wap180/5de52038tw1drgx9pl0pyg.gif,,,,24,0,0,1396155241000
3693805147405157,1889861717,1889861717,一二三四像首歌的小屋,,本是后山人，偶做前堂客，醉舞经阁半卷书，坐井说天阔。大志戏功名，海斗量福祸，论到囊中羞涩时，怒指乾坤错。,ADmiCv4q1,微博 weibo.com,http://ww4.sinaimg.cn/wap180/70a50055gw1eexorsx1y4j201003cjr6.jpg,,,,25,0,0,1396155237000
3660178426362586,1821872275,1821872275,中国移动湖北公司,,#年终豪礼送不停#即日起至12月31日，移动带你high翻双旦！[心]①热销特价合约机直降高达1799元，还送超高话费！猛戳>>> 网页链接 抢购吧！！[太开心]②或戳下图选择你喜欢的机型，私信[姓名+联系方式]即可预定！[笑哈哈]关注我们，转发此微博还有20张200元电子购物券等你来抢！！,ApfvYqHcm,360安全浏览器,"http://ww2.sinaimg.cn/thumb180/6c979093gw1ebyerx9zhmj20cs0dwgo3.jpg,http://ww1.sinaimg.cn/thumb180/6c979093gw1ebyes03dj0j20cs0dwjtu.jpg,http://ww1.sinaimg.cn/thumb180/6c979093gw1ebyes23ijjj20cs0dwgo7.jpg,http://ww4.sinaimg.cn/thumb180/6c979093gw1ebyes6a74tj20cs0dwq5c.jpg,http://ww1.sinaimg.cn/thumb180/6c979093gw1ebyes8sxc5j20qe2dc1bg.jpg,http://ww1.sinaimg.cn/thumb180/6c979093gw1ebyesbb9qdj20cs0dwjtq.jpg,http://ww1.sinaimg.cn/thumb180/6c979093gw1ebyeseekswj20cs0dwjtx.jpg,http://ww3.sinaimg.cn/thumb180/6c979093gw1ebyeshgpvij20cs0dwtb6.jpg,http://ww2.sinaimg.cn/thumb180/6c979093gw1ebyesk903bj20cs0dwdi5.jpg",,,,88997,21548,420,1388137999000
3661704784178044,1889861717,1889861717,一二三四像首歌的小屋,3660178426362586,好活动，无条件的来支持，希望就在前方支持! ,ApTdQhwTO,微博 weibo.com,,,,,17,17,0,1388501910000
3646378553097445,1889861717,1889861717,一二三四像首歌的小屋,,趁着今天天气巴适，赶紧去汤川音社 过了一把瘾，录音室温馨可爱，完全出状态，可见小東-湯旭東 勒个兄弟多体贴人[帅]。葵林制作 勒个大咖也在哈，据说这几天好多歌手前去试音，反响非凡，相信有了这个平台，重庆本土歌手会有更大的舞台，录音不再舟车劳顿老。,Ajsw7cZMN,微博 weibo.com,http://ww4.sinaimg.cn/wap180/70a50055gw1eaqdwiwhejj203c02i0sj.jpg,,,,27,17,0,1384847855000
3646378430995430,1889861717,1889861717,一二三四像首歌的小屋,,任何时候，一个人都不应该做自己情绪的奴隶，不应该使一切行动都受制于自己的情绪，而应该反过来控制情绪。无论境况多么糟糕，你应该努力去支配你的环境，把自己从黑暗中拯救出来。——奥里森·马登《一生的资本》,AjsvV4aXk,微博 weibo.com,http://ww2.sinaimg.cn/wap180/5de52038tw1drgwqkbm1qg.gif,,,,27,13,0,1384847830000
3646378410480192,1889861717,1889861717,一二三四像首歌的小屋,,不是因为身处何处何种情境，而是因为精神世界，让人或高兴或悲伤。——罗杰·莱斯特兰奇,AjsvT20V2,微博 weibo.com,http://ww4.sinaimg.cn/wap180/5de52038tw1drgx8ofvydg.gif,,,,27,10,0,1384847822000
3861909545984695,5538985564,5538985564,霸道天下手游,,#等小霸720去爱你#霸道天下精英服体验将于7月20日霸道开启，大大福利来袭，京东现金卡、话费充值卡等，霸迷们统统都有机会抱走！即刻起至7月20日，转发此条微博，即可参与抽奖。2015最霸道动作手游《霸道天下》即将与大家会面，请大家敬请期待哦 霸道天下精英体验 720与你相约去爱你,CpYy6p6Tl,微博活动,,,,,32227,437,16,1436234448000
3865616929222318,1889861881,1889861881,oOTxTOo,3861909545984695,转发微博 霸道天下精英体验 720与你相约去爱你,CrwZKCH94,微博活动,,,,,0,0,0,1437118357000
3861938385794371,5586086133,5586086133,花啦花啦,,#花啦花啦，夏日送凉爽！#[酷]参与活动既有机会获得花啦花啦赠送的价值800元艾美特塔扇、花啦花啦主题T恤、手机话费10元[哈哈]小伙伴们，赶紧转起来~[嘻嘻]听说转发次数越多，几率越大哟[偷乐]（花啦花啦——我的信用钱包。小微网络贷款首选！） 花啦花啦，夏日送凉爽！参与即得千元奖品！,CpZiCojnB,微博活动,http://ww2.sinaimg.cn/wap180/00662Ebrgw1etu17zile2j30c80sy0vr.jpg,,,,24482,325,23,1436241324000
3865616912427390,1889861881,1889861881,oOTxTOo,3861938385794371,转发微博 花啦花啦，夏日送凉爽！参与即得千元奖品！,CrwZJabts,微博活动,,,,,0,0,0,1437118352000
3860568064977633,1840184081,1840184081,智能手机专家,,#你的暑假计划是什么#2015过去一半了！暑假终于来了！你计划吹空调炒股？继续玩手机？还是去世界看看？嗯，不论你做任何决定，智能君都拿出一部史上最经典的iPhone——iPhone4S支持你！即日起至7.20，说出你的暑假计划，转发微博，就有机会拿走不谢哦~ 你的暑假计划是什么,CppEqkSUp,微博活动,http://ww1.sinaimg.cn/wap180/6daefb11jw1etpobxgg0sj20bk0s6dit.jpg,,,,33759,704,49,1435914615000
3865616899825214,1889861881,1889861881,oOTxTOo,3860568064977633,转发微博 你的暑假计划是什么,CrwZHFdZc,微博活动,,,,,0,0,0,1437118349000
3861622760264766,3181642275,3181642275,鸿星尔克电商官方微博,,有人说#未剪辑的旅途才完美#，ERKE说#微剪辑的旅途更有趣#，七月旅行季将青春HIGH爆到底，在旅途，用微领T/微跑穿出属于你的青春运动YOUNG，来一场微剪辑的旅行吧！网页链接 青春YOUNG 不NG，转发赢微跑鞋/微领T等好礼,CpR5y16Sq,微博活动,http://ww1.sinaimg.cn/wap180/bda40223gw1ett0yi2fwcj20uk1fzqk8.jpg,,,,9881,555,24,1436166071000
3865616878466648,1889861881,1889861881,oOTxTOo,3861622760264766,转发微博 青春YOUNG 不NG，转发赢微跑鞋/微领T等好礼,CrwZFzwyQ,微博活动,,,,,0,0,0,1437118345000
3861957331536304,3171355642,3171355642,Lotte乐天小熊饼,,#暑假欢乐秀#欢乐的暑假来啦！熊宝们是不是很开心呢？这个暑假想到哪里去玩呢？熊爸熊妈们做好准备和熊孩子们度过欢乐的两个月了吗？转发微博即有机会获得小熊饼，为暑假出游添彩！有出游照片，熊叫兽也希望大家一起分享哦！ 【暑假欢乐秀】熊宝出游分享,CpZNb6rF6,微博活动,http://ww2.sinaimg.cn/wap180/bd070bfagw1etsua4cvvgj20aq0aptab.jpg,,,,13505,673,24,1436245841000
3865616866234696,1889861881,1889861881,oOTxTOo,3861957331536304,转发微博 【暑假欢乐秀】熊宝出游分享,CrwZEq9VC,微博活动,,,,,0,0,0,1437118342000
3860897934587905,2010919247,2010919247,窝窝团,,#暑假大放送 清凉一夏#[围观][围观]暑假来啦~和窝窝一起清凉一夏！在线购买立减五元、满65减5、你买窝就送现金红包，暑假嗨购一波接一波[江南style][doge]，开启买买买模式就在现在哦，转发此微博，还可参与抽奖赢红米手机1部。猛戳：网页链接 暑假大放送 清凉一夏,Cpyetjfwt,微博活动,,,,,36887,679,41,1435993262000
3865616849071955,1889861881,1889861881,oOTxTOo,3860897934587905,转发微博 暑假大放送 清凉一夏,CrwZCC41R,微博活动,,,,,0,0,0,1437118338000
3861964449362102,2006918133,2006918133,中国电信北京客服,,【免费上门换4G卡，还赠话费】现通过网页链接可预约免费上门换4G卡，成功激活新号卡，将赠送10元话费，全民都在升4G，天翼4G给你做主的力量。即日起至7月19日，转发本微博可参与抽奖：一等奖HTCT328D手机，二等奖100元充值卡，三等奖50元充值卡。 免费上门换4G卡，还赠话费,CpZYEDhvE,微博活动,http://ww3.sinaimg.cn/wap180/779f23f5jw1ettzdd4vb2j20c8180grb.jpg,,,,33928,782,32,1436247539000
3865616832645301,1889861881,1889861881,oOTxTOo,3861964449362102,转发微博 免费上门换4G卡，还赠话费,CrwZBb6a9,微博活动,,,,,0,0,0,1437118334000
3860973385508457,5049717517,5049717517,华为会员,,#带上荣耀4X 华为会员带你去《小时代4》#中国移动咪咕影院赞助的《小时代4》即将首映。手握“看片神器”荣耀4X的华为会员们，不能错过这样一场视觉盛宴，更不能错过激活“会员”尊贵身份的机会，赶快激活华为会员吧！转发微博赢取荣耀4X，助你成为华为会员！ 带上荣耀4X 华为会员带你去《小时代4》,CpAcan705,微博活动,,,,,46842,796,63,1436011250000
3865616815849834,1889861881,1889861881,oOTxTOo,3860973385508457,转发微博 带上荣耀4X 华为会员带你去《小时代4》,CrwZzoxOa,微博活动,,,,,0,0,0,1437118328000
3864200306775982,5594088101,5594088101,智选家,,#家具免费换新#活动来啦[嘻嘻]价值4480元的红苹果一桌四椅组合免费领！还在等什么？赶快点击链接参与进来吧！网页链接 现在转发微博即有机会领取红米Note手机一部，心动的小伙伴们赶快动动手指转发起来吧[害羞] 家具免费换新来啦！还在等什么？,CqW8SsqK2,微博活动,http://ww4.sinaimg.cn/wap180/0066AdRrgw1eu15v6x2brj30hv09yjty.jpg,,,,38283,344,25,1436780609000
3865616798949257,1889861881,1889861881,oOTxTOo,3864200306775982,转发微博 家具免费换新来啦！还在等什么？,CrwZxBy6R,微博活动,,,,,0,0,0,1437118324000
